addee, addor, resnum, remres, remnum, remrem
03, 31, 34, 35, false, false
03, 32, 35, 36, false, false
03, 33, 36, 37, false, false
03, 34, 37, 38, false, false
03, 35, 38, 39, false, false
03, 36, 39, 40, false, false
03, 37, 40, 41, false, false
03, 38, 41, 42, false, false
03, 39, 42, 43, false, false
03, 40, 43, 44, false, false
03, 41, 44, 45, false, false
03, 42, 45, 46, false, false
03, 43, 46, 47, false, false
03, 44, 47, 48, false, false
03, 45, 48, 49, false, false
03, 46, 49, 50, false, false
03, 47, 50, 51, false, false
03, 48, 51, 52, false, false
03, 49, 52, 53, false, false
03, 50, 53, 54, false, false
03, 51, 54, 55, false, false
03, 52, 55, 56, false, false
03, 53, 56, 57, false, false
03, 54, 57, 58, false, false
03, 55, 58, 59, false, false
03, 56, 59, 00, false, true
03, 57, 00, 01, true, true
03, 58, 01, 02, true, true
03, 59, 02, 03, true, true
04, 00, 04, 05, false, false
04, 01, 05, 06, false, false
04, 02, 06, 07, false, false
04, 03, 07, 08, false, false
04, 04, 08, 09, false, false
04, 05, 09, 10, false, false
04, 06, 10, 11, false, false
04, 07, 11, 12, false, false
04, 08, 12, 13, false, false
04, 09, 13, 14, false, false
04, 10, 14, 15, false, false
04, 11, 15, 16, false, false
04, 12, 16, 17, false, false
04, 13, 17, 18, false, false
04, 14, 18, 19, false, false
04, 15, 19, 20, false, false
04, 16, 20, 21, false, false
04, 17, 21, 22, false, false
04, 18, 22, 23, false, false
04, 19, 23, 24, false, false
04, 20, 24, 25, false, false
04, 21, 25, 26, false, false
04, 22, 26, 27, false, false
04, 23, 27, 28, false, false
04, 24, 28, 29, false, false
04, 25, 29, 30, false, false
04, 26, 30, 31, false, false
04, 27, 31, 32, false, false
04, 28, 32, 33, false, false
04, 29, 33, 34, false, false
04, 30, 34, 35, false, false
04, 31, 35, 36, false, false
04, 32, 36, 37, false, false
04, 33, 37, 38, false, false
04, 34, 38, 39, false, false
04, 35, 39, 40, false, false
04, 36, 40, 41, false, false
04, 37, 41, 42, false, false
04, 38, 42, 43, false, false
04, 39, 43, 44, false, false
04, 40, 44, 45, false, false
04, 41, 45, 46, false, false
04, 42, 46, 47, false, false
04, 43, 47, 48, false, false
04, 44, 48, 49, false, false
